method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,pattern,seed,unique_fraction,source_file,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,gate_score,gate_decision
Adaptive-SPARSE,10000,4,17.0,15.0,1.1333333333333333,0.1980360539982939,0.1975603999999293,17,0.7675848914359131,0.6769304545636271,0.862963407500351,10000,True,correlated_bursts,100,1.0,correlated_bursts_10000_100_mp.csv,34.0,10000.0,187390.0,98695.0,0.0199177190015689,0.0029001219991187,0.0049625339997874,0.1617125420011689,17.0,waves,17.0,"0.88008670,0.74739100,0.67693045,0.76593141",0.5293244240180331,MP
Adaptive-SPARSE,10000,4,17.0,14.0,1.2142857142857142,0.198235096001099,0.1991902719996687,17,0.778825975923211,0.7222075636012881,0.8168248166824322,10000,True,correlated_bursts,101,1.0,correlated_bursts_10000_101_mp.csv,34.0,10000.0,183140.0,96570.0,0.0204845949988339,0.0029299049992914,0.0052321069988465,0.1618786399990313,17.0,waves,17.0,"0.78842036,0.82183737,0.72220756,0.78283861",0.5366899231304991,MP
Adaptive-SPARSE,10000,4,18.0,14.0,1.2857142857142858,0.2027035619989874,0.1998989210001127,20,0.7192295999312842,0.6724378186852844,0.7640882140112806,10000,True,correlated_bursts,102,1.0,correlated_bursts_10000_102_mp.csv,38.0,10000.0,198110.0,97517.0,0.0204259199986154,0.0029656790011358,0.0054048090000833,0.1626919720006299,18.0,waves,18.0,"0.76997227,0.70376308,0.73074523,0.67243782",0.5411006174057629,MP
Adaptive-SPARSE,10000,4,15.0,14.0,1.0714285714285714,0.17745738700023134,0.1788746739998714,16,0.8447984055410491,0.7735506742604573,0.883805393729051,10000,True,correlated_bursts,103,1.0,correlated_bursts_10000_103_mp.csv,31.0,10000.0,164574.0,86917.0,0.0180626819983444,0.0039273529973797,0.0048544749997745,0.1430828929997005,15.0,waves,15.0,"0.88632032,0.77355067,0.84976848,0.86955415",0.543165841023813,MP
Adaptive-SPARSE,10000,4,17.0,15.0,1.1333333333333333,0.18880953200141445,0.1895847749997301,18,0.7675505740228822,0.7010849119130302,0.8450177552984275,10000,True,correlated_bursts,104,1.0,correlated_bursts_10000_104_mp.csv,35.0,10000.0,180448.0,93734.0,0.0191588419993422,0.0028932029995303,0.0049953530010498,0.154361837000124,17.0,waves,17.0,"0.70866680,0.85135738,0.80909321,0.70108491",0.5325787510065972,MP
Adaptive-SPARSE,10000,4,20.0,14.0,1.4285714285714286,0.19942880699773013,0.2000731299999643,20,0.6530791023345788,0.621045065463384,0.691737295701305,10000,True,correlated_bursts,105,1.0,correlated_bursts_10000_105_mp.csv,40.0,10000.0,184728.0,97364.0,0.0199951939994207,0.0030558720004592,0.0064033769990601,0.1623937630006366,20.0,waves,20.0,"0.64818650,0.62104507,0.64366212,0.69942273",0.548282250726495,MP
Adaptive-SPARSE,10000,4,18.0,15.0,1.2,0.19736101499938735,0.1981219109998164,19,0.7404263638478739,0.6784971174663967,0.7911342000490207,10000,True,correlated_bursts,106,1.0,correlated_bursts_10000_106_mp.csv,37.0,10000.0,194876.0,98114.0,0.0201124299992443,0.002913742999226,0.0054081229995972,0.1614356880004379,18.0,waves,18.0,"0.67849712,0.71053208,0.79318966,0.77948660",0.5981233538319914,MP
Adaptive-SPARSE,10000,4,18.0,15.0,1.2,0.2063486889996966,0.2072524850000263,20,0.6937572067920809,0.6339614388783773,0.8020906770414775,10000,True,correlated_bursts,107,1.0,correlated_bursts_10000_107_mp.csv,38.0,10000.0,204224.0,101893.0,0.0212236679990382,0.0031716959992991,0.0055771329984963,0.1686293010020563,18.0,waves,18.0,"0.63396144,0.82444900,0.67539349,0.64122489",0.5512413714520057,MP
Adaptive-SPARSE,10000,4,18.0,15.0,1.2,0.2103678150001542,0.2111317870003404,19,0.707127747186908,0.6564021227165505,0.775470212432985,10000,True,correlated_bursts,108,1.0,correlated_bursts_10000_108_mp.csv,37.0,10000.0,204182.0,105525.0,0.021541664999404,0.0032763079998403,0.0054426140009127,0.1723599520014431,18.0,waves,18.0,"0.66523299,0.65640212,0.72196326,0.78491262",0.5323276856658475,MP
Adaptive-SPARSE,10000,4,16.0,14.0,1.1428571428571428,0.183416095001121,0.1844703060000938,17,0.8171860109540323,0.7459153064668178,0.8683194175486266,10000,True,correlated_bursts,109,1.0,correlated_bursts_10000_109_mp.csv,33.0,10000.0,179231.0,93159.0,0.0192172119986935,0.002830870998423,0.0049889709998751,0.1490954559999409,16.0,waves,16.0,"0.85690093,0.74591531,0.79559336,0.87033445",0.5408971685465904,MP
Adaptive-SPARSE,100000,4,18.0,15.0,1.2,1.1766059060005318,1.1736425399999462,30,0.7240322520632546,0.6314644784696897,0.8108466886564647,100000,True,correlated_bursts,100,1.0,correlated_bursts_100000_100_mp.csv,48.0,100000.0,2227695.0,1143310.0,0.2055148009994809,0.0224258420016667,0.0164416120005626,0.8664778039997145,18.0,waves,18.0,"0.82523523,0.71011766,0.63146448,0.72931164",0.5268565822714932,MP
Adaptive-SPARSE,100000,4,18.0,14.0,1.2857142857142858,1.1258244099999504,1.1279204580000624,27,0.735082591325431,0.6807762428696067,0.7725583812924159,100000,True,correlated_bursts,101,1.0,correlated_bursts_100000_101_mp.csv,45.0,100000.0,2069338.0,1077825.0,0.1918945950001216,0.0206410329988102,0.0154464429983818,0.8361738980015616,18.0,waves,18.0,"0.74438681,0.77752984,0.68077624,0.73763748",0.5403039604603797,MP
Adaptive-SPARSE,100000,4,19.0,14.0,1.3571428571428572,1.1621574960004182,1.1610322909996285,26,0.6820860380061049,0.6390976835085216,0.7238825233978012,100000,True,correlated_bursts,102,1.0,correlated_bursts_100000_102_mp.csv,45.0,100000.0,2014143.0,1111940.0,0.1914786850002201,0.0209020579995922,0.0157437389998449,0.8702934799998729,19.0,waves,19.0,"0.72797222,0.66056666,0.70070759,0.63909768",0.5445339334816524,MP
Adaptive-SPARSE,100000,4,17.0,14.0,1.2142857142857142,1.001879276001091,1.0012884110001323,24,0.7463578158124988,0.6913020830715871,0.7793400989645486,100000,True,correlated_bursts,103,1.0,correlated_bursts_100000_103_mp.csv,41.0,100000.0,1830892.0,1016988.0,0.1720613450011114,0.0191397470011907,0.0139646520001406,0.7380350579996957,17.0,waves,17.0,"0.78125565,0.69130208,0.74438823,0.76848530",0.5440123074055296,MP
Adaptive-SPARSE,100000,4,18.0,15.0,1.2,1.069551563999994,1.0727613799999745,26,0.7245953990182612,0.66072888385393,0.8014776745685737,100000,True,correlated_bursts,104,1.0,correlated_bursts_100000_104_mp.csv,44.0,100000.0,1964037.0,1049590.0,0.1829053239989662,0.0200934330023301,0.0156645639995076,0.7900118290003775,18.0,waves,18.0,"0.66072888,0.80772559,0.76607280,0.66385432",0.5341224100269537,MP
Adaptive-SPARSE,100000,4,20.0,14.0,1.4285714285714286,1.0805193449996295,1.0827628379997805,25,0.6539282756003935,0.6222371776361465,0.689552393283995,100000,True,correlated_bursts,105,1.0,correlated_bursts_100000_105_mp.csv,45.0,100000.0,2040673.0,1098058.0,0.1875086119985098,0.0200912440004685,0.0148406450011862,0.8004591349999828,20.0,waves,20.0,"0.65197907,0.62223718,0.64531388,0.69618298",0.5532653841929914,MP
