method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,pattern,seed,unique_fraction,source_file,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,gate_score,gate_decision
FIFO-Windowed,100000,4,37.0,14.0,2.642857142857143,0.0036693210004159,0.0036693210004159,37,,,,100000,True,correlated_bursts,101,1.0,correlated_bursts_100000_101_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,100000,4,37.0,14.0,2.642857142857143,0.0036693210004159,0.0036693210004159,37,,,,100000,True,correlated_bursts,101,1.0,correlated_bursts_100000_101_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,100000,4,37.0,14.0,2.642857142857143,0.0036693210004159,0.0036693210004159,37,,,,100000,True,correlated_bursts,101,1.0,correlated_bursts_100000_101_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,100000,4,37.0,14.0,2.642857142857143,0.0036693210004159,0.0036693210004159,37,,,,100000,True,correlated_bursts,101,1.0,correlated_bursts_100000_101_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,100000,4,37.0,14.0,2.642857142857143,0.0004371270001684,0.0004371270001684,37,,,,100000,True,correlated_bursts,101,1.0,correlated_bursts_100000_101_baseline.csv,,,,,,,,,,,,,,
FISTA,100000,4,16.0,14.0,1.1428571428571428,1.2929809430020214,1.3290344140000343,24,0.7930714918281883,0.7296058545644084,0.8310097895973871,100000,True,iid,103,1.0,iid_100000_103_fista.csv,40.0,100000.0,1800629.0,995124.0,0.1901699750005718,0.0190799569991213,0.2230614860000059,0.83580019899955,16.0,waves,16.0,"0.83409704,0.72960585,0.79506769,0.81351539",,
FIFO-Windowed,10000,4,37.0,14.0,2.642857142857143,0.0003891460000886,0.0003891460000886,37,,,,10000,True,correlated_bursts,101,1.0,correlated_bursts_10000_101_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,10000,4,37.0,14.0,2.642857142857143,0.0003891460000886,0.0003891460000886,37,,,,10000,True,correlated_bursts,101,1.0,correlated_bursts_10000_101_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,10000,4,37.0,14.0,2.642857142857143,0.0003891460000886,0.0003891460000886,37,,,,10000,True,correlated_bursts,101,1.0,correlated_bursts_10000_101_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,10000,4,37.0,14.0,2.642857142857143,0.0003891460000886,0.0003891460000886,37,,,,10000,True,correlated_bursts,101,1.0,correlated_bursts_10000_101_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,10000,4,37.0,14.0,2.642857142857143,4.533699984676787e-05,4.533699984676787e-05,37,,,,10000,True,correlated_bursts,101,1.0,correlated_bursts_10000_101_baseline.csv,,,,,,,,,,,,,,
OLS,10000,4,20.0,15.0,1.3333333333333333,0.940276103000997,0.946981484999924,21,0.6243814861128727,0.5705652949905395,0.7218816093373298,10000,True,correlated_bursts,107,1.0,correlated_bursts_10000_107_ols.csv,41.0,10000.0,213085.0,109346.0,0.0271937060001619,0.0033794009987104,0.715333129998271,0.189845973001411,20.0,waves,20.0,"0.57056529,0.74200410,0.60785414,0.57710240",,
