workers,rep,wall_s,map_s,reduce_s,scanned,feasible,pool_size,checksum
1,0,0.1748483609999311,0.1640960770000674,0.0107224600001245,1000000,1000000,65536,265611849
1,1,0.2041811890003373,0.1907764499997029,0.0133487070002047,1000000,1000000,65536,265611849
1,2,0.2486423039999863,0.2376848160001827,0.0109208930002751,1000000,1000000,65536,265611849
2,0,0.4127431730003081,0.3912931589998152,0.0207020549996741,1000000,1000000,65536,265611849
2,1,0.3636531910001395,0.3298717419997956,0.0323245719996521,1000000,1000000,65536,265611849
2,2,0.3410828810001476,0.3130426900002021,0.0265812319998985,1000000,1000000,65536,265611849
4,0,0.2953161039999941,0.2772108479998678,0.0165075119998618,1000000,1000000,65536,265611849
4,1,0.2744821390001561,0.2593703920001644,0.0133993809999992,1000000,1000000,65536,265611849
4,2,0.2907254149999971,0.2752086189998408,0.0137449339999875,1000000,1000000,65536,265611849
8,0,0.3308356150000691,0.3154198990000623,0.0136625509999248,1000000,1000000,65536,265611849
8,1,0.3850230150001152,0.356972308999957,0.0263614059999781,1000000,1000000,65536,265611849
8,2,0.261109395999938,0.2476671510003143,0.0119112289999065,1000000,1000000,65536,265611849
