pattern,method,n,exact_rate,ratio_mean,ratio_std,time_mean
complementary,FIFO-Windowed,30,0.6,1.2,0.2491364395612199,0.00017969839980949335
complementary,FISTA,30,0.5,1.25,0.25427381385780395,0.0029688187999150797
complementary,IRLS,30,0.5,1.25,0.25427381385780395,0.0014783618665963167
complementary,Kahn-FIFO,30,0.6,1.2,0.2491364395612199,0.00017309613337293666
complementary,MP,30,0.5,1.25,0.25427381385780395,0.0009608068666693166
complementary,OLS,30,0.5,1.25,0.25427381385780395,0.003057083900011947
complementary,OMP,30,0.5,1.25,0.25427381385780395,0.0010793739333621033
correlated_bursts,FIFO-Windowed,30,0.5333333333333333,1.1944444444444444,0.21920849141293575,0.00022560913334923664
correlated_bursts,FISTA,30,0.7333333333333333,1.1111111111111112,0.19245008972987526,0.0034963890666252
correlated_bursts,IRLS,30,0.7333333333333333,1.1111111111111112,0.19245008972987526,0.0017819212666684333
correlated_bursts,Kahn-FIFO,30,0.5333333333333333,1.1944444444444444,0.21920849141293575,0.00021621599991395666
correlated_bursts,MP,30,0.7333333333333333,1.1111111111111112,0.19245008972987526,0.0010522991999247265
correlated_bursts,OLS,30,0.7333333333333333,1.1111111111111112,0.19245008972987526,0.0032178594332586867
correlated_bursts,OMP,30,0.7333333333333333,1.1111111111111112,0.19245008972987526,0.0012056734000755367
iid,FIFO-Windowed,30,0.7333333333333333,1.1222222222222222,0.2096034082766188,0.00020145799987094666
iid,FISTA,30,0.6666666666666666,1.15,0.22037063867676335,0.00361247843322109
iid,IRLS,30,0.6666666666666666,1.15,0.22037063867676335,0.0017951229000118
iid,Kahn-FIFO,30,0.7333333333333333,1.1222222222222222,0.2096034082766188,0.00020198643339118665
iid,MP,30,0.6666666666666666,1.15,0.22037063867676335,0.0011567970999142535
iid,OLS,30,0.6666666666666666,1.15,0.22037063867676335,0.00356330383339501
iid,OMP,30,0.6666666666666666,1.15,0.22037063867676335,0.0013094305334561333
