method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,seed,pool_size,direction_budget,pattern
MP,100000,4,16.0,15.0,1.0666666666666669,1.4180655390000538,1.4593172039999445,219,0.8145362835711614,0.7103975382784009,0.9122025247385228,100000,True,235,100000,8580384,7674882,0.975265901997318,0.0091519900033745,0.044799683999372,0.3760010409982897,16,waves,16,"0.92838963,0.79888237,0.71039754,0.82047560",100,1024,12,correlated_bursts
MP,100000,4,15.0,14.0,1.0714285714285714,1.4479433019982937,1.4904604829998789,214,0.8820991095905172,0.8169314914435281,0.9270700575508992,100000,True,229,100000,8471783,7727487,0.9876095169979636,0.0091587680030897,0.0453172209931835,0.3930967669998608,15,waves,15,"0.89326417,0.93303580,0.81693149,0.88516497",101,1024,12,correlated_bursts
MP,100000,4,15.0,14.0,1.0714285714285714,1.4275714279997374,1.4691992050002227,218,0.8639756481410663,0.8095237324441275,0.9169178629705482,100000,True,233,100000,8648734,7756082,0.9819330720024482,0.0093809860027249,0.0456154450021131,0.3775792519995775,15,waves,15,"0.92209814,0.83671777,0.88756295,0.80952373",102,1024,12,correlated_bursts
MP,100000,4,19.0,14.0,1.3571428571428572,1.195244229997115,1.2320586440000625,24,0.6820860380061049,0.6390976835085216,0.7238825233978012,100000,True,43,100000,1916814,1019531,0.1737309100008133,0.0237113129987847,0.0166849469992484,0.9531376150007418,19,waves,19,"0.72797222,0.66056666,0.70070759,0.63909768",102,16384,12,correlated_bursts
MP,100000,4,16.0,14.0,1.1428571428571428,3.9433015700001306,3.9844863970001834,17,0.7930051793007802,0.7345084632635613,0.8280488551498328,100000,True,33,100000,1681622,882391,0.2141865460002918,0.1047195620008096,0.0483525139989069,3.471353924000141,16,waves,16,"0.83008413,0.73450846,0.79091250,0.81651563",103,65536,12,correlated_bursts
MP,100000,4,18.0,14.0,1.2857142857142858,1.1724965210019036,1.2079373829997166,23,0.735082591325431,0.6807762428696067,0.7725583812924159,100000,True,41,100000,1998016,1025948,0.1757694359998822,0.0233666019994416,0.0163651529996968,0.9285364770016712,18,waves,18,"0.74438681,0.77752984,0.68077624,0.73763748",101,16384,12,correlated_bursts
MP,100000,4,17.0,15.0,1.1333333333333333,4.099473533999571,4.139467808000063,17,0.7672186577840413,0.6995952887865141,0.8486234201314309,100000,True,34,100000,1782002,941001,0.2096683099989604,0.0935106920005637,0.0518919630007985,3.632542579998699,17,waves,17,"0.69959529,0.85523886,0.81113590,0.70290458",104,65536,12,correlated_bursts
MP,100000,4,18.0,15.0,1.2,1.2488915539997834,1.2845819169997412,24,0.7240322520632546,0.6314644784696897,0.8108466886564647,100000,True,42,100000,2020632,1053744,0.1790848050009117,0.0242754530004276,0.0167489790014769,1.0006547660000251,18,waves,18,"0.82523523,0.71011766,0.63146448,0.72931164",100,16384,12,correlated_bursts
MP,100000,4,18.0,14.0,1.2857142857142858,4.502431327000068,4.543108267000207,18,0.7199797067842219,0.6746031103701061,0.7640982191421235,100000,True,36,100000,1854810,977405,0.2201396170021325,0.0974992780011234,0.0498539549994347,4.019083662998582,18,waves,18,"0.76841512,0.69726481,0.73963579,0.67460311",102,65536,12,correlated_bursts
MP,100000,4,17.0,14.0,1.2142857142857142,0.964955802001441,1.0011242079999647,67,0.7463578158124988,0.6913020830715871,0.7793400989645486,100000,True,84,100000,3526039,2493251,0.3536918240006343,0.012450715000341,0.0257489729988265,0.5572544799983916,17,waves,17,"0.78125565,0.69130208,0.74438823,0.76848530",103,4096,12,correlated_bursts
